"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)"
"Ridderkerk";"GM0597    ";"Ridderkerk                                        ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Rijssen-Holten";"GM1742    ";"Rijssen-Holten                                    ";"GG1106    ";"GGD Twente                                        "
"Rijswijk (ZH.)";"GM0603    ";"Rijswijk                                          ";"GG7014    ";"GGD Haaglanden                                    "
"Roerdalen";"GM1669    ";"Roerdalen                                         ";"GG6011    ";"GGD Limburg-Noord                                 "
"Roermond";"GM0957    ";"Roermond                                          ";"GG6011    ";"GGD Limburg-Noord                                 "
"De Ronde Venen";"GM0736    ";"De Ronde Venen                                    ";"GG2514    ";"GGD Regio Utrecht                                 "
"Roosendaal";"GM1674    ";"Roosendaal                                        ";"GG5206    ";"GGD West-Brabant                                  "
"Rotterdam";"GM0599    ";"Rotterdam                                         ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Rozendaal";"GM0277    ";"Rozendaal                                         ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Rucphen";"GM0840    ";"Rucphen                                           ";"GG5206    ";"GGD West-Brabant                                  "
"Schagen";"GM0441    ";"Schagen                                           ";"GG2707    ";"GGD Hollands-Noorden                              "
"Scherpenzeel";"GM0279    ";"Scherpenzeel                                      ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Schiedam";"GM0606    ";"Schiedam                                          ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Schiermonnikoog";"GM0088    ";"Schiermonnikoog                                   ";"GG7206    ";"GGD Fryslân                                       "
"Schouwen-Duiveland";"GM1676    ";"Schouwen-Duiveland                                ";"GG5006    ";"GGD Zeeland                                       "
"Simpelveld";"GM0965    ";"Simpelveld                                        ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Sint-Michielsgestel";"GM0845    ";"Sint-Michielsgestel                               ";"GG5406    ";"GGD Hart voor Brabant                             "
"Sittard-Geleen";"GM1883    ";"Sittard-Geleen                                    ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Sliedrecht";"GM0610    ";"Sliedrecht                                        ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Sluis";"GM1714    ";"Sluis                                             ";"GG5006    ";"GGD Zeeland                                       "
"Smallingerland";"GM0090    ";"Smallingerland                                    ";"GG7206    ";"GGD Fryslân                                       "
"Soest";"GM0342    ";"Soest                                             ";"GG2514    ";"GGD Regio Utrecht                                 "
"Someren";"GM0847    ";"Someren                                           ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Son en Breugel";"GM0848    ";"Son en Breugel                                    ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Stadskanaal";"GM0037    ";"Stadskanaal                                       ";"GG0111    ";"GGD Groningen                                     "
"Staphorst";"GM0180    ";"Staphorst                                         ";"GG1009    ";"GGD IJsselland                                    "
"Stede Broec";"GM0532    ";"Stede Broec                                       ";"GG2707    ";"GGD Hollands-Noorden                              "
"Steenbergen";"GM0851    ";"Steenbergen                                       ";"GG5206    ";"GGD West-Brabant                                  "
"Steenwijkerland";"GM1708    ";"Steenwijkerland                                   ";"GG1009    ";"GGD IJsselland                                    "
"Stein (L.)";"GM0971    ";"Stein                                             ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Stichtse Vecht";"GM1904    ";"Stichtse Vecht                                    ";"GG2514    ";"GGD Regio Utrecht                                 "
"Súdwest-Fryslân";"GM1900    ";"Súdwest-Fryslân                                   ";"GG7206    ";"GGD Fryslân                                       "
"Terneuzen";"GM0715    ";"Terneuzen                                         ";"GG5006    ";"GGD Zeeland                                       "
"Terschelling";"GM0093    ";"Terschelling                                      ";"GG7206    ";"GGD Fryslân                                       "
"Texel";"GM0448    ";"Texel                                             ";"GG2707    ";"GGD Hollands-Noorden                              "
"Teylingen";"GM1525    ";"Teylingen                                         ";"GG4506    ";"GGD Hollands-Midden                               "
"Tholen";"GM0716    ";"Tholen                                            ";"GG5006    ";"GGD Zeeland                                       "
"Tiel";"GM0281    ";"Tiel                                              ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Tilburg";"GM0855    ";"Tilburg                                           ";"GG5406    ";"GGD Hart voor Brabant                             "
"Tubbergen";"GM0183    ";"Tubbergen                                         ";"GG1106    ";"GGD Twente                                        "
"Twenterand";"GM1700    ";"Twenterand                                        ";"GG1106    ";"GGD Twente                                        "
"Tynaarlo";"GM1730    ";"Tynaarlo                                          ";"GG0706    ";"GGD Drenthe                                       "
"Tytsjerksteradiel";"GM0737    ";"Tytsjerksteradiel                                 ";"GG7206    ";"GGD Fryslân                                       "
"Uitgeest";"GM0450    ";"Uitgeest                                          ";"GG3109    ";"GGD Kennemerland                                  "
"Uithoorn";"GM0451    ";"Uithoorn                                          ";"GG3406    ";"GGD Amsterdam                                     "
"Urk";"GM0184    ";"Urk                                               ";"GG2209    ";"GGD Flevoland                                     "
"Utrecht (gemeente)";"GM0344    ";"Utrecht                                           ";"GG2514    ";"GGD Regio Utrecht                                 "
"Utrechtse Heuvelrug";"GM1581    ";"Utrechtse Heuvelrug                               ";"GG2514    ";"GGD Regio Utrecht                                 "
"Vaals";"GM0981    ";"Vaals                                             ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Valkenburg aan de Geul";"GM0994    ";"Valkenburg aan de Geul                            ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Valkenswaard";"GM0858    ";"Valkenswaard                                      ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Veendam";"GM0047    ";"Veendam                                           ";"GG0111    ";"GGD Groningen                                     "
"Veenendaal";"GM0345    ";"Veenendaal                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Veere";"GM0717    ";"Veere                                             ";"GG5006    ";"GGD Zeeland                                       "
"Veldhoven";"GM0861    ";"Veldhoven                                         ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Velsen";"GM0453    ";"Velsen                                            ";"GG3109    ";"GGD Kennemerland                                  "
"Venlo";"GM0983    ";"Venlo                                             ";"GG6011    ";"GGD Limburg-Noord                                 "
"Venray";"GM0984    ";"Venray                                            ";"GG6011    ";"GGD Limburg-Noord                                 "
"Vijfheerenlanden";"GM1961    ";"Vijfheerenlanden                                  ";"GG2514    ";"GGD Regio Utrecht                                 "
"Vlaardingen";"GM0622    ";"Vlaardingen                                       ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Vlieland";"GM0096    ";"Vlieland                                          ";"GG7206    ";"GGD Fryslân                                       "
"Vlissingen";"GM0718    ";"Vlissingen                                        ";"GG5006    ";"GGD Zeeland                                       "
"Voerendaal";"GM0986    ";"Voerendaal                                        ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Voorne aan Zee";"GM1992    ";"Voorne aan Zee                                    ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Voorschoten";"GM0626    ";"Voorschoten                                       ";"GG4506    ";"GGD Hollands-Midden                               "
"Voorst";"GM0285    ";"Voorst                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Vught";"GM0865    ";"Vught                                             ";"GG5406    ";"GGD Hart voor Brabant                             "
"Waadhoeke";"GM1949    ";"Waadhoeke                                         ";"GG7206    ";"GGD Fryslân                                       "
"Waalre";"GM0866    ";"Waalre                                            ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Waalwijk";"GM0867    ";"Waalwijk                                          ";"GG5406    ";"GGD Hart voor Brabant                             "
"Waddinxveen";"GM0627    ";"Waddinxveen                                       ";"GG4506    ";"GGD Hollands-Midden                               "
"Wageningen";"GM0289    ";"Wageningen                                        ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Wassenaar";"GM0629    ";"Wassenaar                                         ";"GG7014    ";"GGD Haaglanden                                    "
"Waterland";"GM0852    ";"Waterland                                         ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Weert";"GM0988    ";"Weert                                             ";"GG6011    ";"GGD Limburg-Noord                                 "
"West Betuwe";"GM1960    ";"West Betuwe                                       ";"GG2014    ";"GGD Gelderland-Zuid                               "
"West Maas en Waal";"GM0668    ";"West Maas en Waal                                 ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Westerkwartier";"GM1969    ";"Westerkwartier                                    ";"GG0111    ";"GGD Groningen                                     "
"Westerveld";"GM1701    ";"Westerveld                                        ";"GG0706    ";"GGD Drenthe                                       "
"Westervoort";"GM0293    ";"Westervoort                                       ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Westerwolde";"GM1950    ";"Westerwolde                                       ";"GG0111    ";"GGD Groningen                                     "
"Westland";"GM1783    ";"Westland                                          ";"GG7014    ";"GGD Haaglanden                                    "
"Weststellingwerf";"GM0098    ";"Weststellingwerf                                  ";"GG7206    ";"GGD Fryslân                                       "
"Wierden";"GM0189    ";"Wierden                                           ";"GG1106    ";"GGD Twente                                        "
"Wijchen";"GM0296    ";"Wijchen                                           ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Wijdemeren";"GM1696    ";"Wijdemeren                                        ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Wijk bij Duurstede";"GM0352    ";"Wijk bij Duurstede                                ";"GG2514    ";"GGD Regio Utrecht                                 "
"Winterswijk";"GM0294    ";"Winterswijk                                       ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Woensdrecht";"GM0873    ";"Woensdrecht                                       ";"GG5206    ";"GGD West-Brabant                                  "
"Woerden";"GM0632    ";"Woerden                                           ";"GG2514    ";"GGD Regio Utrecht                                 "
"De Wolden";"GM1690    ";"De Wolden                                         ";"GG0706    ";"GGD Drenthe                                       "
"Wormerland";"GM0880    ";"Wormerland                                        ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Woudenberg";"GM0351    ";"Woudenberg                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Zaanstad";"GM0479    ";"Zaanstad                                          ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Zaltbommel";"GM0297    ";"Zaltbommel                                        ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Zandvoort";"GM0473    ";"Zandvoort                                         ";"GG3109    ";"GGD Kennemerland                                  "
"Zeewolde";"GM0050    ";"Zeewolde                                          ";"GG2209    ";"GGD Flevoland                                     "
"Zeist";"GM0355    ";"Zeist                                             ";"GG2514    ";"GGD Regio Utrecht                                 "
"Zevenaar";"GM0299    ";"Zevenaar                                          ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Zoetermeer";"GM0637    ";"Zoetermeer                                        ";"GG7014    ";"GGD Haaglanden                                    "
"Zoeterwoude";"GM0638    ";"Zoeterwoude                                       ";"GG4506    ";"GGD Hollands-Midden                               "
"Zuidplas";"GM1892    ";"Zuidplas                                          ";"GG4506    ";"GGD Hollands-Midden                               "
"Zundert";"GM0879    ";"Zundert                                           ";"GG5206    ";"GGD West-Brabant                                  "
"Zutphen";"GM0301    ";"Zutphen                                           ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Zwartewaterland";"GM1896    ";"Zwartewaterland                                   ";"GG1009    ";"GGD IJsselland                                    "
"Zwijndrecht";"GM0642    ";"Zwijndrecht                                       ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Zwolle";"GM0193    ";"Zwolle                                            ";"GG1009    ";"GGD IJsselland                                    "
